"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","previous","poutcome","empvarrate","conspriceidx","consconfidx","euribor3m","nremployed","y"
34,"entrepreneur","married","high.school","unknown","no","no","telephone","may","wed",436,1,0,"nonexistent",1.1,93.994003,-36.400002,4.8590002,5191,"no"
42,"blue-collar","divorced","basic.9y","no","no","no","cellular","apr","mon",20,2,0,"nonexistent",-1.8,93.074997,-47.099998,1.405,5099.1001,"no"
30,"blue-collar","married","basic.4y","no","yes","no","cellular","apr","mon",42,3,0,"nonexistent",-1.8,93.074997,-47.099998,1.405,5099.1001,"no"
33,"services","married","high.school","no","unknown","unknown","cellular","aug","thu",240,2,0,"nonexistent",-2.9000001,92.200996,-31.4,0.87300003,5076.2002,"no"
36,"admin.","married","university.degree","unknown","yes","no","telephone","may","wed",136,2,0,"nonexistent",1.1,93.994003,-36.400002,4.8590002,5191,"no"
27,"technician","single","university.degree","no","no","yes","cellular","nov","wed",342,1,0,"nonexistent",-3.4000001,92.649002,-30.1,0.71600002,5017.5,"yes"
39,"self-employed","married","basic.9y","unknown","no","no","telephone","jun","mon",79,1,0,"nonexistent",1.4,94.464996,-41.799999,4.961,5228.1001,"no"
31,"blue-collar","single","basic.9y","no","no","no","cellular","may","wed",459,4,0,"nonexistent",-1.8,92.892998,-46.200001,1.334,5099.1001,"no"
56,"services","divorced","high.school","unknown","yes","no","cellular","jul","mon",354,2,0,"nonexistent",1.4,93.917999,-42.700001,4.9619999,5228.1001,"no"
24,"technician","single","basic.6y","no","yes","yes","cellular","jul","thu",18,8,0,"nonexistent",1.4,93.917999,-42.700001,4.9580002,5228.1001,"no"
55,"admin.","single","university.degree","unknown","no","yes","cellular","nov","fri",143,1,0,"nonexistent",-0.1,93.199997,-42,4.0209999,5195.7998,"no"
46,"management","divorced","university.degree","no","yes","no","cellular","nov","mon",210,1,0,"nonexistent",-0.1,93.199997,-42,4.191,5195.7998,"no"
33,"blue-collar","single","basic.9y","unknown","yes","no","telephone","jun","fri",261,1,0,"nonexistent",1.4,94.464996,-41.799999,4.967,5228.1001,"no"
27,"technician","single","university.degree","no","yes","no","cellular","may","mon",90,4,1,"failure",-1.8,92.892998,-46.200001,1.354,5099.1001,"no"
34,"technician","divorced","professional.course","no","no","no","cellular","apr","fri",185,1,0,"nonexistent",-1.8,93.074997,-47.099998,1.405,5099.1001,"no"
37,"entrepreneur","married","basic.9y","no","yes","no","telephone","jun","mon",541,1,0,"nonexistent",1.4,94.464996,-41.799999,4.8649998,5228.1001,"no"
40,"blue-collar","divorced","basic.9y","unknown","no","no","cellular","jul","thu",160,1,0,"nonexistent",1.4,93.917999,-42.700001,4.9629998,5228.1001,"no"
31,"self-employed","married","university.degree","no","yes","no","telephone","nov","mon",69,1,0,"nonexistent",-0.1,93.199997,-42,4.191,5195.7998,"no"
